Facility ID,Facility Name,Address,City,ZIP Code,CountyName,State,county_state,address,HBIPS-2 Measure Description,HBIPS-2 Overall Rate Per 1000,HBIPS-2 Overall Num,HBIPS-2 Overall Den,HBIPS-3 Measure Description,HBIPS-3 Overall Rate Per 1000,HBIPS-3 Overall Num,HBIPS-3 Overall Den,geolocated-address,latitude-comma,longitude-comma,latitude,longitude, historical_90 , slow_90 , no_90 , rapid_90 ,WFIR_EALT,WFIR_EALS,WFIR_EALR,WFIR_RISKS,WFIR_RISKR
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,36467,COVINGTON,AL,COVINGTON_AL,702 N MAIN ST OPP AL 36467,Hours of physical-restraint use,0,0,2448,Hours of seclusion use,0,0,2448,"702 North Main Street, Opp, AL, USA","31,292,574","-86,254,436",31.292574,-86.254436,97.52518,142.4892,167.2014,135.7626,18301.73362,4.870561881,Very Low,5.240335543,Very Low
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,36049,CRENSHAW,AL,CRENSHAW_AL,101 HOSPITAL CIRCLE LUVERNE AL 36049,Hours of physical-restraint use,0.04,3.7,4252,Hours of seclusion use,0.16,16.16,4252,"101 Hospital Circle, Luverne, AL, USA","31,693,827","-86,264,249",31.693827,-86.264249,92.34737,138.4421,163.6737,131.621,1185.478142,1.956047991,Very Low,1.687018239,Very Low
10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,35235,JEFFERSON,AL,JEFFERSON_AL,50 MEDICAL PARK EAST DRIVE BIRMINGHAM AL 35235,Hours of physical-restraint use,0.38,250.9,27625,Hours of seclusion use,0.12,79.8,27625,"Birmingham, AL, USA","33,530,651","-86,800,929",33.530651,-86.800929,76.2625,122.5,148.4,115.7063,7811.279908,3.667096925,Very Low,3.225738589,Very Low
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,35968,DEKALB,AL,DEKALB_AL,200 MED CENTER DRIVE FORT PAYNE AL 35968,Hours of physical-restraint use,0,0,4467,Hours of seclusion use,0,0,4467,"Fort Payne, AL, USA","34,452,834","-85,701,505",34.452834,-85.701505,48.37931,100.5259,130.1897,93.45689,6545.719341,3.457276511,Very Low,3.192236849,Very Low
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,35007,SHELBY,AL,SHELBY_AL,1000 FIRST STREET NORTH ALABASTER AL 35007,Hours of physical-restraint use,0,0,8399,Hours of seclusion use,0,0,8399,"Alabaster, AL, USA","33,246,702","-86,813,699",33.246702,-86.813699,78.59504,125.1074,151.405,118.2066,3013.06126,2.669424504,Very Low,1.1983419,Very Low
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,36360,DALE,AL,DALE_AL,126 HOSPITAL AVE OZARK AL 36360,Hours of physical-restraint use,0,0,1430,Hours of seclusion use,0,0,1430,"126 Hospital Avenue, Ozark, AL, USA","314,511","-85,632,426",31.4511,-85.632426,90.40476,137.9167,163.7976,130.9881,1586.954255,2.155773479,Very Low,1.91851758,Very Low
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,36116,MONTGOMERY,AL,MONTGOMERY_AL,2105 EAST SOUTH BOULEVARD MONTGOMERY AL 36116,Hours of physical-restraint use,0.04,11.95,12003,Hours of seclusion use,0.38,108.82,12003,"2105 East South Boulevard, Montgomery, AL, USA","32,328,457","-86,277,826",32.328457,-86.277826,90.12174,135.3913,160.8261,128.6522,3103.128479,2.69576217,Very Low,2.577693572,Very Low
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,35233,JEFFERSON,AL,JEFFERSON_AL,619 SOUTH 19TH STREET BIRMINGHAM AL 35233,Hours of physical-restraint use,0,0.71,32563,Hours of seclusion use,0.01,4.46,32563,"Birmingham, AL, USA","33,530,651","-86,800,929",33.530651,-86.800929,76.2625,122.5,148.4,115.7063,7811.279908,3.667096925,Very Low,3.225738589,Very Low
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,36078,ELMORE,AL,ELMORE_AL,805 FRIENDSHIP ROAD TALLASSEE AL 36078,Hours of physical-restraint use,0,0,898,Hours of seclusion use,0,0,898,"805 Friendship Rd, Tallassee, AL, USA","32,533,936","-85,912,266",32.533936,-85.912266,80.55446,128.0099,154.6139,121.3267,5909.714726,3.341466883,Very Low,2.231162973,Very Low
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,35801,MADISON,AL,MADISON_AL,101 SIVLEY RD HUNTSVILLE AL 35801,Hours of physical-restraint use,0,0,8268,Hours of seclusion use,0,0,8268,"Huntsville, AL, USA","34,756,007","-86,616,034",34.756007,-86.616034,56.525,106.9333,135.4833,100.2333,1941.565225,2.305679742,Very Low,1.378789015,Very Low
