facilityid,name,address,city,county,state,address,county_state,zip,capacity,type,securelvl,status,ice_facility,latitude,longitude,historical_90,slow_90,no_90,rapid_90,WFIR_EALT,WFIR_EALS,WFIR_EALR,WFIR_RISKS,WFIR_RISKR
10003732,ALABAMA DEPARTMENT OF YOUTH SERVICES - AUTAUGA,1601 COUNTY ROAD 57,PRATTVILLE,AUTAUGA,AL,1601 COUNTY ROAD 57 PRATTVILLE AL 36067,AUTAUGA_AL,36067,78,STATE,JUVENILE,OPEN,N,32.461913,-86.459946,83.3407,129.681,155.714,122.736,2136.099237,2.38024757,Very Low,1.488876028,Very Low
10003731,AUTAUGA COUNTY METRO JAIL,136 NORTH COURT STREET,PRATTVILLE,AUTAUGA,AL,136 NORTH COURT STREET PRATTVILLE AL 36067,AUTAUGA_AL,36067,138,COUNTY,NOT AVAILABLE,OPEN,N,32.471015,-86.474612,83.3407,129.681,155.714,122.736,2136.099237,2.38024757,Very Low,1.488876028,Very Low
10006464,ROBERTSDALE POLICE DEPARTMENT,23335 E CHICAGO STREET,ROBERTSDALE,BALDWIN,AL,23335 E CHICAGO STREET ROBERTSDALE AL 36567,BALDWIN_AL,36567,50,LOCAL,NOT AVAILABLE,NOT AVAILABLE,N,30.556238,-87.709523,95.7564,141.615,166.231,135.03,1195503.845,19.61546681,Relatively Moderate,16.50134966,Relatively Moderate
10000146,LOXLEY COMMUNITY BASED FACILITY / COMMUNITY WORK CENTER,14880 COUNTY RD 64,LOXLEY,BALDWIN,AL,14880 COUNTY RD 64 LOXLEY AL 36551,BALDWIN_AL,36551,562,STATE,MINIMUM,OPEN,N,30.688283,-87.751695,95.7564,141.615,166.231,135.03,1195503.845,19.61546681,Relatively Moderate,16.50134966,Relatively Moderate
10003748,BALDWIN COUNTY REGIONAL JUVENILE DETENTION CENTER,43405 NICHOLSVILLE ROAD,BAY MINETTE,BALDWIN,AL,43405 NICHOLSVILLE ROAD BAY MINETTE AL 36507,BALDWIN_AL,36507,30,COUNTY,JUVENILE,OPEN,N,30.88266,-87.777168,95.7564,141.615,166.231,135.03,1195503.845,19.61546681,Relatively Moderate,16.50134966,Relatively Moderate
10006456,DAPHNE CORRECTIONS CENTER,1502 US HWY 98,DAPHNE,BALDWIN,AL,1502 US HWY 98 DAPHNE AL 36526,BALDWIN_AL,36526,74,LOCAL,NOT AVAILABLE,OPEN,N,30.6001,-87.896668,95.7564,141.615,166.231,135.03,1195503.845,19.61546681,Relatively Moderate,16.50134966,Relatively Moderate
10003749,BALDWIN COUNTY CORRECTIONS CENTER,200 HAND AVE.,BAY MINETTE,BALDWIN,AL,200 HAND AVE. BAY MINETTE AL 36507,BALDWIN_AL,36507,700,COUNTY,NOT AVAILABLE,OPEN,N,30.88858,-87.776773,95.7564,141.615,166.231,135.03,1195503.845,19.61546681,Relatively Moderate,16.50134966,Relatively Moderate
10006682,PATHWAY OF BALDWIN COUNTY,LOTTIE ROAD & EWING FARM RD,PERDIDO,BALDWIN,AL,LOTTIE ROAD & EWING FARM RD PERDIDO AL 36502,BALDWIN_AL,36502,48,COUNTY,JUVENILE,OPEN,N,32.688053,-86.810585,95.7564,141.615,166.231,135.03,1195503.845,19.61546681,Relatively Moderate,16.50134966,Relatively Moderate
10000145,EUFAULA YOUTH CENTER,315 OUTBACK RD,CLAYTON,BARBOUR,AL,315 OUTBACK RD CLAYTON AL 36016,BARBOUR_AL,36016,50,NOT AVAILABLE,JUVENILE,NOT AVAILABLE,N,31.881414,-85.457399,84.7833,132.625,159.308,125.858,1638.065345,2.178673059,Very Low,1.999049868,Very Low
10001225,BARBOUR COUNTY JAIL,24 ROBERTSON AIRPORT DR,CLAYTON,BARBOUR,AL,24 ROBERTSON AIRPORT DR CLAYTON AL 36016,BARBOUR_AL,36016,98,COUNTY,NOT AVAILABLE,OPEN,N,31.881414,-85.457399,84.7833,132.625,159.308,125.858,1638.065345,2.178673059,Very Low,1.999049868,Very Low
