OID_,NRI_ID,STATE,STATEABBRV,STATEFIPS,POPULATION,WFIR_EALT,WFIR_EALS,WFIR_EALR,Latitude,Longitude,historical_90,slow_90,no_90, rapid_90 
1,S01,Alabama,AL,1,4779736,4440310.009,18.35154292,Relatively Low,32.688053,-86.810585, 81 ,112,152,120
2,S02,Alaska,AK,2,710231,,,Insufficient Data,64.724809,-153.629618, 76 ,,,
3,S04,Arizona,AZ,4,6392017,103197040.7,52.75842356,Relatively High,34.255149,-111.62621, 52 ,97,125,90
4,S05,Arkansas,AR,5,2915918,3028756.982,16.12933067,Relatively Low,34.755883,-92.640559, 40 ,119,144,113
5,S06,California,CA,6,37253956,698812619.1,100,Very High,36.531544,-119.586168, 7 ,58,82,51
6,S08,Colorado,CO,8,5029196,45171154.44,40.00773397,Relatively Moderate,38.996664,-105.547822, 10 ,24,44,21
7,S09,Connecticut,CT,9,3574097,71257.90903,4.472622671,Very Low,41.580163,-72.756629, 39 ,39,70,33
8,S10,Delaware,DE,10,897934,421780.4203,8.259660124,Very Low,38.978849,-75.46014, 31 ,74,103,67
9,S11,District of Columbia,DC,11,601723,6.535083668,0.002111237,Very Low,38.912097,-77.014683, 125 ,83,111,77
10,S12,Florida,FL,12,18801310,183968999,64.01558898,Relatively High,27.97762,-81.769611, 79 ,164,184,158
11,S13,Georgia,GA,13,9687653,28858461.3,34.42830579,Relatively Moderate,32.53951,-83.380775, 22 ,124,151,118
12,S15,Hawaii,HI,15,1360301,,,Insufficient Data,19.647634,-155.533256, 3 ,,,
13,S16,Idaho,ID,16,1567582,37503805.66,37.58981396,Relatively Moderate,43.764877,-114.964267, 34 ,23,46,18
14,S17,Illinois,IL,17,12830632,37033.03705,3.554987838,Very Low,40.265028,-89.191575, 26 ,82,109,76
15,S18,Indiana,IN,18,6483802,16845.6193,2.685767345,Very Low,39.904493,-86.250281, 50 ,74,103,67
16,S19,Iowa,IA,19,3046355,854539.4125,10.50693485,Very Low,42.039943,-93.500069, 41 ,65,93,58
17,S20,Kansas,KS,20,2853118,8265072.716,22.62253929,Relatively Low,38.500327,-98.380429, 108 ,91,117,86
18,S21,Kentucky,KY,21,4339367,13334382.76,26.56894879,Relatively Low,37.696825,-84.924095, 7 ,90,120,83
19,S22,Louisiana,LA,22,4533372,5771077.348,20.04629477,Relatively Low,30.542601,-92.51441, 30 ,149,171,143
20,S23,Maine,ME,23,1328361,124723.8583,5.433030437,Very Low,45.243327,-69.171071, 1 ,17,42,13
21,S24,Maryland,MD,24,5773552,2647044.254,15.41191938,Very Low,39.038828,-76.346717, 8 ,75,104,68
22,S25,Massachusetts,MA,25,6547629,1015025.523,11.13967209,Very Low,42.358752,-71.531484, 8 ,30,59,25
23,S26,Michigan,MI,26,9883640,1746474.429,13.38999715,Very Low,43.924812,-84.633107, 46 ,36,65,29
